@RELATION donnees
@ATTRIBUTE text STRING
@ATTRIBUTE eval {-1,1}
@data
"seem have lose provide steady cinematic not even worth be grit whole finish schizophrenic never quite materialize last just feel ashamed such take even comment own up completely disappoint show enough strike come up dim retard pubescent English be commendable bizarre scatter last be enough pop go see instead beautiful independent ever come out poignant wonderful touch intelligent give hope be not lose Indian make",-1
"be big then be afraid be very long ahead reach right go wrong enormous cast then be still be study much harder associate lack almost have few good render alone make enjoy huge first go down have very cheap like be clear otherwise be be simply waste attempt good English flat most surely hit think why sign short say even be well enjoyable understand how why be write approve most unwanted be faulty weak be have give just start off very well suddenly drop drastically only be somehow good waste regard just sample be hilly foreign probably next be search then back be still think write manage sit last then be too long silly unnecessary see walk not hurt as be still see technical achieve more pathetic sincere senior possible please ask first be out such have certain still clap enter first respectively think not see hamper associate",-1
"have have nice be be hesitant watch be do same write hate be compare say be very realistic when see feel nice be put up nice well very first edited off then major be be laugh watch fight be even get get see understand how bad be other be far too predictable remind early well only be worth be sexy look really hot give out please please do not see be real well watch have terrible",-1
"beat possess be hilarious typical see positive look tell old write be so unreal long shoot be least most make be other regret waste not recommend be least give give zero",-1
"have more so be operate be invite teach decide run away tell not do owe be also know decide steal only then find out be hire track down be direct first be produce have be bad have ever watch Yes be good much publicise look good be extremely thin make other hence why have say have expect more be unfortunately be not remember now be where laugh be mainly have definitely do good play well be say do not suit lastly never mind have produce direct good such be do produce not worth waste be first last",-1
"have be about see only have be be promote ask know say be directorial write make play watch understand why be not proper be not show be extremely even old come up good line be hardly shake possible be be difficult figure out be kill also be daft unrealistic manage kill about be watch remind credit terrible outrageously ridiculous be not even also hear be be same do not know where go anyway do not then be absolutely like be hot be well only good be be shoot good be rubbish even terrible not save",-1
"explain be actually make produce such be worthless even have good please much confidently promote poorly bomb certainly deserve be bad ever make honourable How come handle heavy new have actual make try imitate make suffer last be more like make exhaust also lose tenderly win most remind southern Tamil be not have finally go instead just start expect displease be main whole join final be judge whole entire say be give deserve lose unexpectedly fail become hit have new show off here still remind previous seriously need form new impress again again do great now return again hilarious have fully develop act last not least look really hot complain become too lean do not think so instead become slim Yes slim be good attract major say male be nice appear begin last young hope now too lean forward make act like be either mentally still want go back say want be admit down mishandle offer experiment study go practical sorry do not like rate good",-1
"just see have very few good talk be be complete associate be disappoint even too just now have make final bad feel be now days be try copy forget take make look real unfortunately do not have much spend now such too stupid work just pay watch favorite kill be certainly not go work wish have forward even Chinese appear nowhere beat be be not pay watch such think now forget cant make last good have see be current be really sad do see not figure out slow be do use be too unrealistic childish not have cant handle just want go back where be have thrilling be not very effective visually be much good current now open please do not make more acquire make realistic",-1
"be very displease be terrible be overdo even be weightless have write successful have high work too hard do not help rock think Hindi research how be do tend exaggerate too much Chinese work be Hindi be good last no more look unrealistic be sure get much sharp also be note do not mix do properly good next",-1
"be be bad be first give be boring well know first only be bad maybe be maybe see cheesy give be even worst then expect be boring then meet be so artificial then be do weird kinda be be do first be alright then get repetitive overact then come provide nice then become more boring outdated childish boring be have get more direct have work only else so be be come fresh actually provide engaging be irritate be equally bad ham outrageously spoil even more be okay",-1
"absolutely awful be so loud understand well really listen closely speak be actually unintelligible be bad edit be not present give be shoddy be unintelligible be abysmal well use look now look starve slim down gain watch want like not even allow please want torture go ahead watch",-1
"sometime fail understand do think when make have have watch think wont do again amazing finally end such amazing get predictable interesting apart watch major wise major have spend give pathetic small have not think give when be do be such nice quite comparable be not take sad plan watch say watch listen go overall very disappoint even have make speak bad go away need puke",-1
"have never think ever degrade have nonsense catch have over act have improve be not good anyway be good be also good say be not good great be fill be suppose be just last few be do mean make have so many good overall be totally disappoint",-1
"be horrible be no cry hopeless be great have always want go anyway as expect great even let down recognize be sensational only introduce bad be first be not comparable sister act now want prove surpass come wear short really wonder why be let be have impress dress ask how then consider be have watch be dream have naked include personally think dress really like be force give really give",-1
"define new have set now be compare first do have handle well have become be begin meander completely lose derange smart don same levitate defy be black good competent be where like ask be smoke sure be remember make never be do most dead possibly only redeeming be watch hear be disappoint come up eminently hummable How wish have spend create more sign want really badly know how do wind be do maybe",-1
"be about only wake up watch mega disappointing numb new bad be bad see be not just bad be terrible take grant terrible also expect get away common only have get big onboard direct be describe be go wrong star be hire teach be play ambitious desperate go cool get pretty young play use swindle determined recover also punish recruit most trust do so have faithful track down recover stolen be hide much bad too be hold together threadbare centre be so so indulgent fail establish connect instead coherent traditional get set most be loosely construct garish dodge even ridiculous climatic complete zip dirty believe not even drive not all set be badly do be quite neat actually very little make large be just go really little do expect seemingly fast pace find sickeningly sentimental see be associate know be make be more do not think care reek actually bother stop see do be overcook be kill softly then be kill excess snazzily glossy work exotic fancy probably cost put together still feel hollow do not hold do not help either do not blend thin have complain little less be more engaging grating make want slit fumble foolishly unable find top do decent be salvage be irresistible spontaneous cringe when be cup repeatedly scowl when deliver double not take when be up there good seem be only prolong be be do not know style be sorry say have",-1
"long await have disappoint have go see first look turn out be out bad deserve be professional have do very well good do not think save have be shoot beautifully be all saturate alright nevertheless intrinsic be shoot make want find out exactly where be when go there happy be shoot very shabbily make out have use very well have be do much much good be bad have see recent have good guess initial where be fall off be good have be mention nearly just make sure do not forget guess",-1
"have like write be not have like quote hard hit be only funny have like swoon keep guess be as predictable have like talk do not like much sigh be perfect attempt promise push be way more effective barbed wear research alternative spread swear leave seem be kill more deserve not have watch be most green almost other require somewhat great offer obviously be own hope be only be enough have make good do already say preferably be not mentally challenge even be challenge have do good statutory be injurious mental like obvious English become be turn priceless short be be suppose increase promise lower mere just be wrong have be warn anyways",-1
"be big don know have be create big have be add have be stretch fill most disgusting be perform be be have run be happen fight only good be be good comic speak be also do good just forget",-1
"say be good great be not make serious take be unbearable do not really go well even be not make say be not be involve stupid be large be not have also be be be not really good be disappoint",-1
"be not terribly impress 1st be not much rather smart political be unleash cause sexual replace murderous start out short explain be kill then be short where be arrest when be discover assume be suppose show be unclear be never revisit go introduce blah blah seem cool mysterious star get bad bad lurch forward sad unsatisfy bad well",-1
"have now write several be bad interesting be completely abandon roll watch never real amuse let be check out then be be not amusing entertaining be just annoy be never ever show very much overlook affect only result be very very frightening then deteriorate let obviously derange ultimately die flee north run few then appear save make go then be huddle be mail",-1
"love frequently live constant similar give lump be breed wonderful bend develop bring love dine begin really run right where be go do not know how spoil spoiled sudden no be drift earlier have long haired luminescent yeah get well bad rouse promise set up rewarding build up have have exceed build up not other",-1
"huge previous first be twist darkly hilarious right poor intriguing leave bewilder supposed show generic extract infected be completely unsatisfy explain be extraterrestrial human why do go gratuitously sadistic why not just unleash completely lethal stand instead have male keep hope improve keep watch just get more pretentious preposterous religious simply seem force be clear have think be profound give like be just",-1
"be not alone admire first execute masterfully be also not alone scorn bring cut same sadly be still absolute be where be require strong stretch too far do not matter direct insult first be have act do original thereof be handle least believable be too much criticize not bother condemn perhaps be more appropriate moronic be base bad",-1
"so get so see added interesting not exactly worthy be hardly new where find be be slightly unbelievable do not notice be come out instead real real have penetrate then bounce forget make make more logical deface when be originally make quite absurd sound silly compare step outside be deliver well have fitting early stop then be turn back go back turn back whole make wonder where exactly aim ever go do not free more",-1
"be come true long last only see only exist printed finally come be unable complete have have restore seem winning then start watch realize esoteric be very real be entirely possible compete finished perfect have imagine really have be finally see be only very few know be shaky when very first like home brew then start see new first be pretty neat be alright few fleeting see intermix new do not convince never ever let be probably not right judge bad visual when be supposedly direct follow up be believe be difficult believe show here good be original cut just do not make only really work be have all see theatrical do make fill be do not get complete shoot other be be intent use little possible end up be make look airtight coherent view get be faithful comfortable use be extremely disrespectful film good be lift relatively intact release include not ironically be film else film be edit hasty now make seem fist know honor here be throw so be there good be be neat see watch be neat be all film same only highlight major really just jump have be well serve complete delete instead be horn nonsensical inferior many take familiar be use sloppy edit bad daily why be look be back call why do have walk dark only have follow walk dark turn be initially confuse expect see entire be fill questionable be too be just random major be shoot be only use next alternate have use more probably have too much admit extend military well as note elsewhere show bear all know be blind know try so hard honor original drop less be indicative entire supposed be put final have be inescapable entire probably be easy digest do not make separate here be be expect pay be essentially delete be really only worth finally see legendary initial expect be excellent little else know watch have new be mean perfect realize be stand out here bold manage make have entertain many continue do so new most likely only be remember",-1
"be fascinate how truly bad be be suppose learn reflect here be up be suppose be impress do matter be why do unsuccessfully mock interview be so obvious edit out really informative achieve good be tell how bad be even be finished be truly amaze believe be struggle become be try impress intellectual",-1
"set out southern believe completely deservedly forget be about not discover even mild absolutely silly self indulgent glorify suitable screen drunken certainly not commercial even non commercial good why most independent be not pick up major be bore irrelevant immediate",-1
"How do not believe be actually bad first go see force where do even begin suck act suck end like say be great ever be be not addle think be be still think horrible then be do not even get start horrible be most boring entire do not go watch out find burn all then proceed rent even back future",-1
"now have never ever see bad be physiological do have demented show up multiply get be pointless be pointless big look just cut down get good reckon have be fine put out see understand go on be not be just be video give just get not give be",-1
"much bad be actually painful sit through barely hold new be marginally interesting be extra thin be still bad be mediocre show instead be much good",-1
"be awful be pretty not very good have get involve Indian be interesting do not get well okay be interesting not so badly pace only partly act only imagine close look big probably more laughable then do not even mention topless be tie together spend whole never read about old be require liberal fast forward like schlock be ridiculous be do not go tend not be very good take back original be call be originally where be begin grow try be clever try exploit else put clever be very few only leave be limited often come off good approach first infantile harmlessly rarely be say other dress look good have nice do in be western need not watch again probably no be play be arrest murder not long film wrap obviously ruin",-1
"OK hear new come feature pretty big mean great however completely waste then get have be great ever watch usual great probably sign think be go be great do when hear then enter fresh face say fresh face be first rotten have not hit yet well add be ever see even bother read be so terrible when get first be so dimensional make look get sound worthy token troubled black be gorgeous otherwise not even belong real be short whiny speak high be complete become rich mean whole leave be crooked prevail get really no kid want see be great great old out there enjoy wish have more then have more be so terrible then give many down down no longer mean be so terrible suck so badly make laugh out just not end yell just keep happen save terrible well be bad terrible turn turn terrible be check out even get rich die try now special be get old play even young go",-1
"see be have say have unfortunately be countless have see almost be only have ever want walk out early bad be so obviously originate provocative concern cultural rather organic human derive same famous come mind have never know be good enough be good be adapt political be especially devastating political be so stale simplistic ever be when white male condescend ironic foreign be fresh be long past more detailed please look up many professional available online almost poorly expose shallow manipulative be base other amateur seem more easily bamboozle read similar frequently come stunning breathtaking profound shocking embarrass read do not surprise indeed have encounter many seem regard racial cultural sexual deeply move provoke full profound be such be move other set higher safely pass",-1
"unfortunately make pay watch shallow meaningless be base ethnical happen most American think learn Asian unfortunately be not enough other do not make understand be clean be try stop Lebanese be get cultural be completely different other Arabic main eastern western be do not make do not judge first do be much say have sexual say be wrong write be promote black please watch understand black black have reflect have focus funny where be where be",-1
"first be good be very bad be only first good be prefer watch first",-1
"be sorry even not save go think be then come wild wacky notice be only direct sadly realize be try be serious do get out opposing have lose due original be force use second be shame hate see resort later maybe also never buy hackneyed Australian not fit dominate ergo go tough stupid look be go horribly awry look ruin good place smack only take away be how many out give",-1
"well least do so remember watch be little be never favorite do still hold little special be still watch hear horrible be why decide never watch say really be not all bad agree so decide give call up just laugh first be totally steal first be not really clever not mention just use same different tell how do continue former leave not mention gee striking first as well be just stupid ridiculous have not stop when new be come be strike pink stick where only stick new decide train win dress up rebel ride well defeat evil easily kick tell really be find out own well find out be silly do not work do not click as well first do not mention Frenchy come be silly unbelievable think graduate apparently do not be not really catchy be glad be able bounce back so fast be probably be only silly little not really recommend other be curious warn be just pathetic more famous musical",-1
"only be be straight buff out there actually have say reel be truly lame do not even have sheer take down whimper along slow often just play dead look feel cheap large lose messy unfocused handle be first substantial get do not embarrass be forget misfire low",-1
"when be be be classless shameful euphoric powerfully addictive watch rewind watch again again again pass out become too confused hostile stand so be old review brilliant good original have fledgling adolescent blame rest assured unyielding utter pass however be not little have absolutely suggest be inane artless slipshod participate or dignify now explain why well execute musical advance develop few debatable be obscenely pointless most appear relate excessive general do make concrete be uncomfortably stupid no demonstrate even crude sing dance be not least somewhat likable instead be annoy when offer sacred initiate kick duck away fervently scrub be touch accept be gold be bumble be great be be beautiful smart resourceful above musical be feasible ultimately embrace when reveal be other be slovenly jaw smack dirty wear gracelessly rude trashy so aside be pretty guess harbor likable thus be give whatsoever go on on do not want mention gross be apparently so many seem feel be unfair say though think want revisit old be akin live first only be now kiss nose old be go be left feel dirty disturbed",-1
"find very very watch initial manage stomach switch off watch instead be great have massive be hugely over state dull be awful especially really stick be good look daft sing look incredibly uncomfortable especially when make dance around rock apparent meet seem be suppose have simply be not evident apart seem have ignorant rather stupid never less help uncover completely ridiculous take incredible give be simply absurd blow out do not watch be pure",-1
"have do find be now unexpected be not really worth look be unfamiliar wonder why be headline lesbian pretty restrain do not really get be so be not able become emotionally invest guess be not be not sure be muted soft be very interesting have prurient see make out be handle so discreetly be disappoint well instead",-1
"have read only surmise be easily entertain be be so badly write direct act barely make speak ridden be completely implausible make do not be so lifeless become dull be as decide write struggle then either be not allow give true do not have go standard bad",-1
"change unexpected only be contain be laugh out third when leave bad play no kid try be defeat inept unbelievably terrible be staggeringly bad no wonder have bad How do get make be turn off be",-1
"remember watch want see again be now earn serious be go be really bad bad bad definitely",-1
"be be about say be be bad make edit so call be mean why release such take very serious be be try make bad do not think see bad take damn really hate talk bad other be please consider take up different respect complete have ask mean scary be thinking whole have vote have",-1
"have manage many think be impossible be unseated bad ever make be truly new be as shoddy laughable good be proud embarrassed say watch morbidly fascinate see just low be set be subterranean dig bury begin international only have live where be wait be discover easily understand how manage find so many willing spew ridiculous straight main villainous be play German thick German aside be serial be also old stop innocent take then drag inexplicably be top do plain refuse investigate go so far physically attack be excruciatingly bad apparently include just enough enough paint cardboard be obviously unpaid non sad European possibly act native desperate middle age since little be spend special other be only fair mention do few genuine look sadly not afford uniform cop cruise shiny new more focus dirty derange German futile young stop young be especially pitiable be only whole even vague real other right tortured pose need be see be appreciate latter be where get be resurrect murder have just visit voodoo have protective put do not ask why resort be murder just accept enjoy absurd much prolonged claw out straw cover grave manage make look exactly do maybe even pretty black make up generously airbrush look look more high ready borrow creative laud inject large cheesy be talk prehistoric electronic have play when be still young enough shake other speak function normal mean do become give ample shower more golden Yes golden be not spoil reveal end say be be perfectly live on say",-1
"be decent particular ruin entire ruin utter be far bad have ever see face same entire be emotional even silent manage ruin do not waste watch do not even bother be much good be read even be no good have do wonderful trick think actually sing",-1
"be mean funny why only redeeming be good get sheer nonsensical inane horrible act be so many unanswered why do become how why be there black be be when do make up be smear black scary anywhere even old lastly why be make all why why why be think channel actually issue apologize least have do much",-1
"believe be ever create think be try make artistic just make bad look apply too much be only few finally be maybe total definitely not good be be definitely painful be finally finish again reiterate other be strange do not make much whole also be Romanian just do not make be never explain",-1
"seriously first start park store bad take have pull over sit outside ponder be happen up there bad eventually return heavy do not think be still wonder be ask get then think be OK now bad repeat even once make slightly good eventually start catch take awhile consider how obvious be get voodoo place just die do now bad eventually kill magically protect then get rid bag have put come back be suppose indicate be also magic cause other become meet up be apparently offer ride look normal apparently when see other such freak out be hideous freak out do not even notice massive so wrap up kill bad become last be as be try want see drop",-1
"cant believe carry be be totally fool fool not worth promise do not know positive be be so disappoint sad do not even match have do be say be only do write even bother watch positive have be just have be actually like then have lose do not even get start compare entire be do all cop do not even have close real why even say care cop compare be spot be",-1
"little be self proclaimed have see just about especially now have see good bad be have ever see entire not only be act horrible special ever make up be bad have see even call make up black be totally proof never judge be cover be only sweet about do be so adamant go as far put sticky return say suck do not waste now do not want else waste good do not even know how get do be negative",-1
"actually give star be very high need immediate professional do not spend see award be quite literally scary be well guess be pretty much horrible real horrible apart acting set sound wrongly assume be watch be actually quite scary be terrify come over never be able describe be go away think be watch make amateur be so take aback be write mobile do not forget attempt bring down further current save same horrible just suffer bad have ever see say never never be top",-1
"have be bad have ever see deceive think there maybe hope be laughable good act so poor just have cringe imply when be be categorise due cheesy when actually talk act human only be make up look ever get buy then do so then burn",-1
"stop pick up watch now understand be cheesy be be suspect be not expect much least have do not cost apparently do not have have appear look new front appear be absolutely agonize watch have offer run be only feel accord only hear be sound think about sound kinda gross be not even good only make be maybe try do too many end up incoherent end up be free still feel rip rate out not allow use",-1
"not worth video occasional do be over do poor be very choppy many make just seem gratuitous be badly dub be highly inappropriate be extremely off have be talk let alone drive just piss off bad horribly be be good look do not say much be good very deceive be great",-1
"thank do not waste rent happen be bad have ever see whole visual unnecessary far apart other live be OK get read please see get self why be mean direct get now be not willing search kinda be direct finish say strong even even extreme bored please",-1
"usually support independent try be very comprehensive tolerant tend support be worth just move away imagine follow think have ever see so far great attractive promising get see only really do not have else well do be well",-1
"notice have give be give have give put sit down be expect bad make fine look up see be bad rate guess come critical do not prepare be about spew make out look well OK good need be ban good describe be act call many look Swiss special really be just terrible please do not be rent think be funny watch be not say make good be think",-1
"ever be deserve big fat be love even bad usually have go not actually begin feel angry watch be so insultingly poor not believe responsible actually think be acceptable be non be cut spank do not react resemble human entire be also shoot scantily decorate vaguely resemble be suppose be whole be pointless do not go anywhere when finally turn up look do not do very much make good so so have never see be pitiful bad honestly very bad note only positive give urge not imagine genuinely think be good be terrible be generous",-1
"have go be perhaps great hear think be independent take lone together plan take out be about psycho kill female get be come when rise get proper see be involve where begin cinematic cause first look secret dark pale be mindless debatable intelligent cannibalistic eat primitive most basic walk talk as be poor not do act real sure be there where be horrible be very interesting perhaps great make ask why not be beautiful kill say be consider really bad be produce make not recommend love too much be as even",-1
"only watch first see be total see be as bad no be have be bad ever be not true direct be ever American have German be be where clearly miss pull lead tell wait then come out carry think maybe be not right be bad be murder be not sure be be happen be be totally stupid be awful stupid have ever see be totally obvious be illegally abduct be slap take return yet be there along do not know be happen be total stop not take anymore have be have ever start watch not waste anymore write absolutely worthless",-1
"be bore look little find watch love say have follow how do not warn not watch have use be just be completely misname have little depend do take all revolve crooked act as badly as possible have be try suck much arrest trivial then kill be serial not only be flaw think be flick also get serial completely wrong serial enjoy kill live get down personal knock out inject do not even have dismember bore eventually whopping kill have do apparent come back head off kill be all bury toss not know buy sharp clean be all wear then act very poorly take be act write make up do not look count really dark make up be make all talk behave think act perfectly human be weak compare even many be see then exact same later go only be willing go topless trite be so badly construct see where stop paint be obviously film see bad overly sparse up even be blind see fail clear be",-1
"yeah be sure really be all stand other clon few be really glad see instead rent be big be pretty sure see probably throw up laugh too hard mean be pose walk around really help too choose when walk up especially where go pose flat be live be argue closed not even tell be indicate multiple do not help well expect where throw random good where apparently ship so worship just like ream bad then be not",-1
"last buy watch think be go be be wrong seem as spend good be very mislead watch up where come alive get be out nowhere talk actually speak kill once start drive not suspend anymore actually consider so bad be good be do not finish other mention actually somehow become make glad not have watch be even bad",-1
"have manage many think be impossible be unseated bad ever make be truly new be as shoddy laughable good be proud embarrassed say watch morbidly fascinate see just low be set be subterranean dig bury begin international only have live where be wait be discover easily understand how manage find so many willing spew ridiculous straight main villainous be play German thick German aside be serial be also old stop innocent take then drag inexplicably be top do plain refuse investigate go so far physically attack be excruciatingly bad apparently include just enough enough paint cardboard be obviously unpaid non sad European possibly act native desperate middle age since little be spend special other be only fair mention do few genuine look sadly not afford uniform cop cruise shiny new more focus dirty derange German futile young stop young be especially pitiable be only whole even vague real other right tortured pose need be see be appreciate latter be where get be resurrect murder have just visit voodoo have protective put do not ask why resort be murder just accept enjoy absurd much prolonged claw out straw cover grave manage make look exactly do maybe even pretty black make up generously airbrush look look more high ready borrow creative laud inject large cheesy be talk prehistoric electronic have play when be still young enough shake other speak function normal mean do become give ample shower more golden Yes golden be not spoil reveal end say be be perfectly live on say",-1
"keep put out absolute ironic be love have never see be so amaze how think be so awful say do not even equal when add together read be curious see how bad really be be bad there not end pathetic start quickly notice be incredibly badly dub act be incredibly awful same edit be easily bad make unbearably not take anymore not end be only not take anymore waste",-1
"be far bad have ever see entire be not even kid be poorly make not act be look have put together own come be definitely look appear make up have just put black call take up almost be good be honestly awful not believe how badly be put together jump other sometimes be go be awful look be joke make fake be consider rent buy advise least watch show be how awful truly be wish have watch rent",-1
"horrible acting bad cheesy be just have never see bad decide fast forward see redeeming happen do not aside nice shoot apparently be film same be use least even see same red several different be go make least rent not echo rent small be much cheap entire be quite more versatile believable spend rent hope get be demand back only spend rent feel rip off",-1
"watch include many low amateurish straight right ever want see have see many excellent many forgettable remember forever most hopelessly laughable have ever see still have not recover watch seem weird do really see think see why do work out do really recommend eat be safe be safe be safe not recommend want see recommend so bad good however be entertain watch probably most indefensibly abysmal ever be now whenever ask bad have ever see be say think be great make boring bad deserve produce actually stun really be digital not wait see make consistently ridiculous",-1
"have discover get rent base off look cool scary then get special even see miss funny be act be bad only think be be just try make bad dub however not possibly imagine think be bad ever make real be how bad be be embarrass rent vow never see again",-1
"be bad ever like cheesy be simply awful where be be think more be spend entire why release be so mislead feel rent base strictly much explore have do little make prior visit local video rental have blame want even be motivate stick instead be much more enjoyable have be warn",-1
"have make personal go responsible even get rental give back argue perpetrate false be not enough be be sell have do well make up actually depict say be not go waste more go full come main be be bear raise have German be beyond insulting",-1
"honestly want last back only be fit watch be keep say this have get good have get well then finally show up have paint eye talk regular drive ask want say want out come not take any longer sue",-1
"go video be bad find look think look just bring put be not have be worse want bad get do not know exist seem old write direct be be nice be aspiring make so mad be actually pay direct need work shovel where belong be think rent buy tell same tell get ready commit really have nice say",-1
"imagine be excellent be induce have call not even watch sit have watch be pure torture save do not watch thank only guess nominate only watch first few unfortunately vote well animated short short have sit whole already feel sorry predict be come close win",-1
"wait minute be have know well rent do know well absolute rent when have big know be sit this do good such involve corrupt cop be only enough uncover be target maybe say horrible turn off bad be shoot still have turn collapse just awful real tipoff how bad be see sport unruly look so much just know be not be clearly slum",-1
"be when end be so shoddy be so poor be so awful last be how save no last be watch next be so boring not see how ever get make let alone release obviously be not up contemporary even be awful incoherent babble evil be not quite sure be too awful follow even just",-1
"have be get alone describe how bad be be have pop guarantee be out be pretty good be phone here say have run be double over be too tight look more be more wait kick off wear big drive look roll off used do not put hide be be drive be note several be wooden be cheap be horrendous be even be follow be sure read say here certainly seem be make up go be make out thin apparent hold when need full just tuck start never be see again be so bad not even see out look more disgruntled east do batlike be not make radioactive burst be expose air be radioactive trace be so highly flammable be not explain well unfortunately open cardboard know be cardboard push look weigh about knock out soon whole be disabled pass take leave fend tell not worry smash up surely buy Yes guess say careen off few short not matter much have probably die try hoof back there be tired be convinced be have notice park outside maybe see run up clearly densely populate suburban be bad young want hurl be look bad not hit good want try film early",-1
"grant serial nonetheless earn utterly lack be know seem more concern generate unfortunately also produce star tacky fly canned dull support offer come thoroughly inane mechanical drone stumble look confused have see cheap fit so poorly have adjust be crumpled still manage pull critical lead be miscast display little individual do not cut particularly dynamic create rather be somewhere anywhere else have considerable handle limited be too old even old costume be as exciting tired amble out evident be not know early manage present more energetic go not provide much support not stand out be lead most boring ever great actually be lead sport dub desperately try sound menace prime eccentric be simply annoy even established comic be superfluous be hard discern much face virtually be too bright previous serial be mere most important be be draw laden incoherent further saddle uninspired repetitive amateurish resemble suburban middle cheap be desperately refurbish be keep roll up not invest more create thrilling be serious not be fool excellent capture more authentic comic combine now good be not",-1
"make feel physically sick totally detach British be such pretend be be always say go find go back scummy work never never have back be more 14th yeah right be awfully depressing see stupid middle own about old have do why do not go slit do make sick",-1
"be go along call go watch come out not just ask back ask double how bad be act be not believe have hit so low have be reduce make 4th 5th secondary watch expect see out usually do when be reduce use single take out fall be wrong be unbelievable even excuse have read be leave wonder why have even pick up go seem as be only do be show do not show up hate repeat other be pathetic chop be shaky seem have deteriorate show be assassinate be steady clean honest be tell not waste see be not up read say have be pay still come concur be be direct conscientious play",-1
"barely find express how utterly utterly awful be be sell normally make entertaining honestly say rather gouge out stick have see again act be so awful be almost funny be insanely weak so cavernously wide fly be so poor find out old write not be least surprised be so amateur not even hire shoot bad wed video drivel responsible make have cheapen be ashamed never ever show again not imagine make agree star bad have see entire",-1
"How there be many corrupt cop slip up enough cop run mini include such think have be catch write weekly overhear corrupt never get back be too precious rent feel bad big name make make feel free rent do have very major enjoy see However believe most be young be turn off",-1
"own almost yes even be low say be bad not only ever make only only give instead be be do have sweet specifically also when ever else take out entire next give kill do not even bother not only stink so do act be somehow change also be as fast also never have refuel when be consider hostile last check have control also top secret be play still whisper other be secret also how do go top tell why jail when be great be when be Arab consider do not drink also when do listen be definitely kill other kill as well very brief totally random lesbian come out nowhere",-1
"well once be bad ever make ever be star write sure be famously bad take take so seriously be Romanian make speak just how far have go catch up also speak just how utterly devoid have become be so bad literally feel violate watch need crouch know make feel clean again be release only not imagine why suspect have make have wear protective receive regular",-1
"star have just launch major new evade other steal hold ransom be force send good else stop where be be wipe incriminate be learn skip tell tamper have occur be when negative low come pour just confirm think decide give same be not bad be favourite once maybe just maybe make great again be dub horrendous aerial awful cheap value risible unconvincing have become boring induce do not go anywhere thankfully next once be skip apparently mark mean no more awful European next mark have do have manage do be not be not even be fail even take off",-1
