Hello	UH	Hello
n't	RB	n't
It	PP	it
contains	VBZ	contain
some	DT	some
of	IN	of
the	DT	the
best	JJS	good
actors	NNS	actor
possible	JJ	possible
Tim	NP	Tim
Spall	NP	Spall
Stephen	NP	Stephen
Rea	NP	Rea
Bruce	NP	Bruce
Robinson	NP	Robinson
Jimmy	NP	Jimmy
Nail	NP	Nail
And	CC	and
Bill	NP	Bill
Nighy	NP	<unknown>
Bill	NP	Bill
Nighy	NP	<unknown>
who	WP	who
puts	VBZ	put
on	IN	on
one	CD	one
of	IN	of
the	DT	the
best	JJS	good
performances	NNS	performance
I	PP	I
've	VBP	have
ever	RB	ever
seen	VBN	see
in	IN	in
a	DT	a
film	NN	film
Good	JJ	good
the	DT	the
soundtrack	NN	soundtrack
is	VBZ	be
unbelievable	JJ	unbelievable
Foreigner	NP	<unknown>
's	POS	's
Mick	NP	Mick
Jones	NP	Jones
has	VBZ	have
written	VBN	write
the	DT	the
songs	NNS	song
for	IN	for
the	DT	the
imaginary	JJ	imaginary
band	NN	band
Strange	NP	Strange
Fruit	NP	Fruit
Jimmy	NP	Jimmy
Nail	NP	Nail
who	WP	who
plays	VBZ	play
bass	NN	bass
man	NN	man
Les	NP	Les
Wickes	NP	Wickes
and	CC	and
Bill	NP	Bill
Nighy	NP	<unknown>
portraying	VBG	portray
the	DT	the
egocentric	JJ	egocentric
but	CC	but
awkward	JJ	awkward
singer	NN	singer
Ray	NP	Ray
Simms	NP	Simms
are	VBP	be
really	RB	really
singing	VBG	sing
We	PP	we
know	VBP	know
that	IN	that
about	IN	about
Jimmy	NP	Jimmy
Nail	NP	Nail
but	CC	but
if	IN	if
you	PP	you
've	VBP	have
only	RB	only
heard	VBN	hear
Bill	NP	Bill
Nighy	NP	<unknown>
's	POS	's
singing	NN	singing
in	IN	in
"	``	"
Love	NP	Love
Actually	RB	actually
"	``	"
you	PP	you
have	VBP	have
no	DT	no
idea	NN	idea
how	WRB	how
great	JJ	great
and	CC	and
powerful	RB	powerful
his	PP$	his
voice	NN	voice
is	VBZ	be
Well	RB	well
you	PP	you
'll	MD	will
fever	VB	fever
for	IN	for
every	DT	every
scene	NN	scene
to	TO	to
come	VB	come
for	IN	for
the	DT	the
x	NN	x
th	NN	th
time	NN	time
especially	RB	especially
those	DT	those
concert	NN	concert
scenes	NNS	scene
You	PP	you
'd	MD	will
die	VB	die
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
really	RB	really
stand	VB	stand
in	IN	in
the	DT	the
dancing	NN	dancing
crowd	NN	crowd
when	WRB	when
Strange	NP	Strange
Fruit	NP	Fruit
is	VBZ	be
doing	VBG	do
"	``	"
All	DT	all
Over	IN	over
The	DT	the
World	NP	World
"	''	"
singing	NN	singing
on	IN	on
the	DT	the
top	NN	top
of	IN	of
your	PP$	your
lungs	NNS	lung
You	PP	you
long	RB	long
to	TO	to
cry	VB	cry
and	CC	and
celebrate	VB	celebrate
with	IN	with
thousands	NNS	thousand
of	IN	of
people	NNS	people
the	DT	the
rebirth	NN	rebirth
of	IN	of
the	DT	the
real	JJ	real
Strange	NP	Strange
Fruit	NP	Fruit
at	IN	at
Wisbech	NP	Wisbech
's	POS	's
festival	NN	festival
stage	NN	stage
It	PP	it
's	VBZ	be
hard	JJ	hard
but	CC	but
I	PP	I
'm	VBP	be
addicted	VBN	addict
to	TO	to
this	DT	this
film	NN	film
I	PP	I
'm	VBP	be
addicted	VBN	addict
to	TO	to
Strange	NP	Strange
Fruit	NP	Fruit
If	IN	if
there	EX	there
's	VBZ	be
a	DT	a
world	NN	world
where	WRB	where
this	DT	this
band	NN	band
really	RB	really
exists	VBZ	exist
I	PP	I
'd	MD	will
like	VB	like
to	TO	to
move	VB	move
there	EX	there
Got	VBD	get
Still	RB	still
Crazy	NP	Crazy
anyone	NN	anyone
